trial,probDiff,score_compressed,score_physical,pAB_compressed,pAB_diagonal,response,physCloserAB,physicalExplains,compressedExplains,diagonalExplains,score
14868,0.408,1.136,NaN,0.728,0.32,0,0,0,1,0,1.136
6572,0.308,1.084,NaN,0.224,0.532,1,1,0,1,0,1.084
9564,0.352,1.068,NaN,0.716,0.364,0,0,0,1,0,1.068
13330,0.316,1.064,NaN,0.252,0.568,1,1,0,1,0,1.064
7649,0.348,1.06,NaN,0.712,0.364,0,0,0,1,0,1.06
21836,0.396,1.052,NaN,0.656,0.26,0,0,0,1,0,1.052
1635,0.4,1.044,NaN,0.644,0.244,0,0,0,1,0,1.044
15475,0.356,1.044,NaN,0.688,0.332,0,0,0,1,0,1.044
21648,0.38,1.04,NaN,0.34,0.72,1,1,0,1,0,1.04
1381,0.368,1.032,NaN,0.336,0.704,1,1,0,1,0,1.032
