trial,probDiff,score_compressed,score_physical,pAB_compressed,pAB_diagonal,response,physCloserAB,physicalExplains,compressedExplains,diagonalExplains,score
5633,0.364,NaN,1.2,0.528,0.164,1,0,1,0,1,1.2
9242,0.368,NaN,1.192,0.456,0.824,0,1,1,0,1,1.192
19144,0.408,NaN,1.188,0.628,0.22,1,0,1,0,1,1.188
5133,0.348,NaN,1.176,0.48,0.828,0,1,1,0,1,1.176
2844,0.4,NaN,1.172,0.372,0.772,0,1,1,0,1,1.172
17289,0.368,NaN,1.168,0.568,0.2,1,0,1,0,1,1.168
418,0.404,NaN,1.16,0.352,0.756,0,1,1,0,1,1.16
20298,0.4,NaN,1.16,0.64,0.24,1,0,1,0,1,1.16
14955,0.416,NaN,1.156,0.676,0.26,1,0,1,0,1,1.156
17535,0.4,NaN,1.156,0.356,0.756,0,1,1,0,1,1.156
