trial,participant,setSize,pSwap,pTarget,pBestFoil,bestXi,bestFoilXi,visualFoil,visualMatch,resp,target,bestFoil,bestFoilIdx,dTarget,dBestFoil,dInferredFoil,foilMargin,score
1772,18,6,0.831863636363636,0.168136363636364,0.658675799086758,6,6,5,1,0.1309926535,1.6261,0.1183,4,1.4951073465,0.0126926534999999,0.0126926534999999,1.482414693,15.5748820312691
567,6,6,0.749545454545455,0.250454545454545,0.570577793048159,6,6,5,1,2.5626,1.0619926535,2.5715926535,1,1.5006073465,0.0089926535,0.0089926535,1.491614693,14.4269187621836
7437,75,6,0.913227272727273,0.0867727272727273,0.45905646541188,4,4,3,1,3.1092926535,1.6018,3.1131926535,2,1.5074926535,0.00390000000000024,0.00390000000000024,1.5035926535,12.8058242845079
7763,78,6,0.790136363636364,0.209863636363636,0.502576701821668,6,6,5,1,0.4322,1.9949926535,0.4475,4,1.5627926535,0.0153,0.0153,1.5474926535,11.9101646843689
6376,64,6,0.846727272727273,0.153272727272727,0.586576874785983,5,5,4,1,3.0167926535,1.6268926535,3.0399926535,1,1.3899,0.0232000000000001,0.0232000000000001,1.3667,10.9518389995902
6945,70,6,0.778681818181818,0.221318181818182,0.357283741899127,6,6,5,1,1.5076926535,2.9299,1.509,5,1.4222073465,0.00130734649999975,0.00130734649999975,1.4209,9.8945765761726
3750,38,6,0.678,0.322,0.445690157251019,6,6,5,1,2.5933,1.4267926535,2.5962926535,2,1.1665073465,0.00299265349999978,0.00299265349999978,1.163514693,9.78564031497392
2158,22,6,0.733545454545455,0.266454545454545,0.440887361014127,6,6,5,1,2.3051,0.8573,2.3196926535,1,1.4478,0.0145926535000003,0.0145926535000003,1.4332073465,9.78258316612495
6859,69,6,0.789545454545455,0.210454545454545,0.420141700404858,6,6,5,1,2.7543926535,1.4354926535,2.7608926535,2,1.3189,0.00649999999999995,0.00649999999999995,1.3124,9.75918526745728
696,7,6,0.733272727272727,0.266727272727273,0.543947450735064,6,6,5,1,0.2838,1.6466926535,0.2582,4,1.3628926535,0.0256,0.0256,1.3372926535,9.62191706029172
1883,19,6,0.786909090909091,0.213090909090909,0.368823278112688,6,6,5,1,0.5738926535,2.1418926535,0.5622,2,1.568,0.0116926535000001,0.0116926535000001,1.5563073465,9.30422578252348
5540,56,6,0.825863636363636,0.174136363636364,0.520529118708126,6,6,5,1,3.1326073465,1.3375,0.0165,3,1.3463926535,0.0253926535000004,0.0253926535000004,1.321,9.12050357550329
5867,59,6,0.799818181818182,0.200181818181818,0.356232849862799,6,6,5,1,1.0106,2.575,1.0228,5,1.5644,0.0122,0.0122,1.5522,8.88978504110992
5850,59,6,0.749272727272727,0.250727272727273,0.486823855755895,6,6,5,1,2.3763926535,0.8780926535,2.3432926535,1,1.4983,0.0331000000000001,0.0331000000000001,1.4652,8.58356574552991
8970,90,6,0.837954545454545,0.162045454545455,0.419247877072382,5,5,4,1,0.0196926534999999,1.2855926535,0.0073,3,1.2659,0.0123926534999999,0.0123926534999999,1.2535073465,8.42295149243428
1551,16,6,0.722363636363636,0.277636363636364,0.580722891566265,6,6,5,1,3.0204926535,1.7993926535,3.0564926535,3,1.2211,0.036,0.036,1.1851,8.00249649761838
1761,18,6,0.671090909090909,0.328909090909091,0.395905232720828,6,6,5,1,2.0367926535,0.5399926535,2.0604926535,1,1.4968,0.0236999999999998,0.0236999999999998,1.4731,7.9132699907877
5742,58,6,0.784863636363636,0.215136363636364,0.530631909930013,6,6,5,1,0.3642926535,1.8586926535,0.4116,4,1.4944,0.0473073464999998,0.0473073464999998,1.4470926535,7.89121855843019
9156,92,6,0.769136363636364,0.230863636363636,0.351290368072204,6,6,5,1,1.6968,0.2134926535,1.6798926535,1,1.4833073465,0.0169073465,0.0169073465,1.4664,7.6991873491961
